Keyword,Product Name,Price (per Kg),Product URL,Company,Company URL,City,Address,Rating,Phone
Iron casting,"CastIronCasting, Weight: 50 Kg",100,https://www.indiamart.com/proddetail/cast-iron-casting-2854772016088.html?pos=4&kwd=iron casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Horizon Metal Components,https://www.horizonmetals.in/?pos=4&kwd=iron casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Rajkot,"Plot 2/13, B/H Rolwell Forze Pvt Ltd, NR.Pardi PGVCL Kishan Cement Gate, Pardi, Rajkot - 360024, Dist.Rajkot, Gujarat",4.2,7942873681
Iron casting,GreyIronCastings,60,https://www.indiamart.com/proddetail/grey-iron-castings-11140577930.html?pos=5&kwd=iron casting&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Jatin Industries,https://www.indiamart.com/jatinindustries-gujarat/?pos=5&kwd=iron casting&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Ahmedabad,"No. 87/2B, GIDC, Phase 1, Vatva Industrial Estate Vatva, Ahmedabad - 382425, Dist.Ahmedabad, Gujarat",4.5,8048962399
Iron casting,"Gray Powder Coating SGIronCasting, Automotive Industry",110,https://www.indiamart.com/proddetail/sg-iron-casting-11434665688.html?pos=6&kwd=iron casting&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Raj Industries,https://www.rajcastindia.com/?pos=6&kwd=iron casting&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Ahmedabad,"No. 73, Anar Industrial Estate, Behind New Fruit Market, Naroda Road, Ahmedabad - 380025, Dist.Ahmedabad, Gujarat",4.6,8048618285
Iron casting,"SilverIronFittingcasting, Size: Standard",100,https://www.indiamart.com/proddetail/iron-fitting-casting-25974376512.html?pos=7&kwd=iron casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,Rachana Engitech,https://www.rachanaengitech.in/?pos=7&kwd=iron casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Rajkot,"Ghanshyam Industrial Area, Street No. 4, Behind Hightech Tyre Virani Aghat, Dhebar Road, Rajkot - 360004, Dist.Rajkot, Gujarat",4.5,8047639262
Iron casting,"CastIronInduction motorcasting, For Industrial, Medium Pressure",80,https://www.indiamart.com/proddetail/induction-motor-casting-2850585008433.html?pos=8&kwd=iron casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=3,Shree Technocast,https://www.indiamart.com/shree-technocast/?pos=8&kwd=iron casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Rajkot,"Servey No 473-475 Plot No 35 TA Kotada Sangani Rachana Industries Zone 1 Padvala, Rajkot - 360024, Dist.Rajkot, Gujarat",3,7942822980
Iron casting,"RM CastIronIronCasting, Capacity: 78 Ton Per Day",75,https://www.indiamart.com/proddetail/iron-casting-5736289055.html?pos=9&kwd=iron casting&tags=A||||8038.093|Price|product|||LSlc|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4|r=4,R.m. Engineering,https://www.rmengineering.co.in/?pos=9&kwd=iron casting&tags=A||||8038.093|Price|product|||LSlc|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Rajkot,"Survey No. 201 At - Bhunava, Tal - Gondal, Rajkot - 360311, Dist.Rajkot, Gujarat",4.7,8048969129
Iron casting,"Dark Silver Powder Coating SGIronCasting, For Industrial",95,https://www.indiamart.com/proddetail/sg-iron-casting-27548468488.html?pos=10&kwd=iron casting&tags=A||||8038.093|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Jeegar Technocast,https://www.indiamart.com/jeegar-technocast-shapar/?pos=10&kwd=iron casting&tags=A||||8038.093|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:2310|cat:133|qry_typ:P|lang:en|flavl:0-2|cs:8789|v=4,Rajkot,"Plot No 2/14 Bhumi Ind Area Arrow Techno Road Veraval Ta. Kotda Sangani Rajkot, Rajkot - 360024, Dist.Rajkot, Gujarat",No Rating,8047550887
Ductile iron,"DuctileIronFittings, Form: Tube",800,https://www.indiamart.com/proddetail/ductile-iron-fittings-16845251830.html?pos=1&kwd=ductile iron&tags=A||||9839.57|Price|product|||SSlc|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=4,Kothari Enterprises Private Limited,https://www.indiamart.com/kotharienterprises/?pos=1&kwd=ductile iron&tags=A||||9839.57|Price|product|||SSlc|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,Kolkata,"2-B,,Grant Lane,Bow Bazar, Kolkata - 700012, Dist.Kolkata, West Bengal",4,8047630819
Ductile iron,DuctileIronPipe Fittings,800,https://www.indiamart.com/proddetail/pipe-fittings-2853383204073.html?pos=2&kwd=ductile iron&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=4,Supra Enterprise,https://www.supraenterprise.in/?pos=2&kwd=ductile iron&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,New Delhi,"Office Number - 403, Building Number 32-33, Kusal Bazar, Nehru Place, South Delhi, New Delhi - 110019, Dist.New Delhi, Delhi",4.4,8048968636
Ductile iron,"Round DuctileIronPipe, Size: 1 inch",900,https://www.indiamart.com/proddetail/ductile-iron-pipe-13886072133.html?pos=4&kwd=ductile iron&tags=BA||||8746.929|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=4,Adhunik Enterprises,https://www.adhunikenterprises.com/?pos=4&kwd=ductile iron&tags=BA||||8746.929|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,Chandigarh,"Plot No. 219, Industrial Area, Phase 1 Near Hallomajra Chowk, Chandigarh - 160001, Dist.Chandigarh, Chandigarh",4.3,8048605762
Ductile iron,DuctileIronSpun Pipes,900,https://www.indiamart.com/proddetail/ductile-iron-spun-pipes-2853865626697.html?pos=5&kwd=ductile iron&tags=BA||||8559.269|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=4,Amritlal And Company,https://www.indiamart.com/amritlalandcompany/?pos=5&kwd=ductile iron&tags=BA||||8559.269|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,Indore,"87/1, Taradevi Road, Siyaganj, Indore - 452007, Dist.Indore, Madhya Pradesh",4.4,7942564069
Ductile iron,"Jindal DuctileIronSpun Pipes, For Utilities Water",900,https://www.indiamart.com/proddetail/ductile-iron-spun-pipes-2853596726273.html?pos=6&kwd=ductile iron&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=3,Orbit Tradex Pvt. Ltd.,https://www.orbittradex.co.in/?pos=6&kwd=ductile iron&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,New Delhi,"A- 75, J. F. F. Complex, Jhandewalan Flated Factory, New Delhi - 110055, Dist.New Delhi, Delhi",3.7,8046037092
Ductile iron,"DuctileironGrating With Frame, For Drainage",100,https://www.indiamart.com/proddetail/ductile-iron-grating-with-frame-23714282162.html?pos=9&kwd=ductile iron&tags=BA||||8038.093|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=4,Nexus Cast,https://www.indiamart.com/nexus-cast-rajkot/?pos=9&kwd=ductile iron&tags=BA||||8038.093|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,Rajkot,"Plot No 01 RSN 128, Gaurav Industrial Area, Opp Balaji Casting, Padavala, Rajkot - 360024, Dist.Rajkot, Gujarat",4.7,8046034541
Ductile iron,"DuctileIron, Form: Sheet",285,https://www.indiamart.com/proddetail/ductile-iron-2854531166762.html?pos=10&kwd=ductile iron&tags=BA||||8307.81|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4|r=4,Rapid Drain Solutions Private Limited,https://www.indiamart.com/rapid-drain/?pos=10&kwd=ductile iron&tags=BA||||8307.81|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:2|qr_nm:gd|com-cf:nl|ptrs:na|mc:6737|cat:134|qry_typ:P|lang:en|flavl:0-1|cs:8805|v=4,Pune,"Gat No 767, Chikhali, Balghare Wasti Road, Pune - 411062, Dist.Pune, Maharashtra",4.1,8044012624
Sand casting,Medium Pressure Aluminium Sand Castings,110,https://www.indiamart.com/proddetail/aluminium-sand-castings-2853624225955.html?pos=1&kwd=sand casting&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4|r=4,Metloy Blast Tech,https://www.indiamart.com/metloy-blast-techahmedabad/?pos=1&kwd=sand casting&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4,Ahmedabad,"Kathwada, GIDC, Road No. 8, Plot No. 370, Ahmedabad - 382430, Dist.Ahmedabad, Gujarat",4.6,8048957256
Sand casting,Silver High Pressure Aluminum Sand Castings,270,https://www.indiamart.com/proddetail/aluminum-sand-castings-2851762905930.html?pos=2&kwd=sand casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4|r=4,Horizon Metal Components,https://www.horizonmetals.in/?pos=2&kwd=sand casting&tags=A||||8038.093|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4,Rajkot,"Plot 2/13, B/H Rolwell Forze Pvt Ltd, NR.Pardi PGVCL Kishan Cement Gate, Pardi, Rajkot - 360024, Dist.Rajkot, Gujarat",4.2,7942873681
Sand casting,"Non Ferrous Gray Propeller Aluminium sand Casting, Inner Diameter: 10 mm",290,https://www.indiamart.com/proddetail/propeller-aluminium-sand-casting-21590645848.html?pos=3&kwd=sand casting&tags=A||||8234.609|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4|r=5,Hi-Tech Foundry,https://www.indiamart.com/hitech-foundry-india/?pos=3&kwd=sand casting&tags=A||||8234.609|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4,Valsad,"Survey No 282/B Gala No 3217 Nr Daman Ganaga Industrial Park Patiya Mora Karwad, Vapi, Valsad - 396191, Dist.Valsad, Gujarat",5,7942957483
Sand casting,Shell Casting Sand Casting,200,https://www.indiamart.com/proddetail/shell-casting-sand-casting-2851795629848.html?pos=4&kwd=sand casting&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4|r=4,Govind Foundry Works,https://www.indiamart.com/govindfoundryworks/?pos=4&kwd=sand casting&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4,Pune,"Pap-W-42,,Pun Md 18,Chakan, Pune - 410501, Dist.Pune, Maharashtra",4.6,8043857903
Sand casting,High Pressure Aluminum Sand Castings,350,https://www.indiamart.com/proddetail/aluminum-sand-castings-8028509591.html?pos=5&kwd=sand casting&tags=A||||8281.036|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4|r=4,Meta Lab Engineers.,https://www.metalabengineers.co.in/?pos=5&kwd=sand casting&tags=A||||8281.036|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4,Vadodara,"42-1, Meta Lab Engineers, GIDC Estate, Makarpura,, Vadodara - 390010, Dist.Vadodara, Gujarat",4.4,8048986432
Sand casting,S G IRON Black Sand Castings FOR AGRICULTURE PARTS,100,https://www.indiamart.com/proddetail/sand-castings-for-agriculture-parts-2850624650973.html?pos=7&kwd=sand casting&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4|r=4,Aay Ess Casting,https://www.aayesscastings.com/?pos=7&kwd=sand casting&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-qr_nm:gd|res:RC3|com-cf:nl|ptrs:na|ktp:N0|mc:2287|cat:133|mtp:S|qry_typ:P|lang:en|wc:2|flavl:0|cs:7530|v=4,Ludhiana,"Plot No. B-XXIX-536/49A, Industrial Area-C, Sua Road, Eastman Chowk, Ludhiana - 141014, Dist.Ludhiana, Punjab",4.3,8048613908
